"%s","%s"
"The ""is_qty_decimal"" field must be set to 0 or 1.",""
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.",""
"The ""manage_stock"" field must be set to 0 or 1.",""
"The ""stock_status_changed_auto"" field must be set to 0 or 1.",""
"The ""use_config_backorders"" field must be set to 0 or 1.",""
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.",""
"The ""use_config_manage_stock"" field must be set to 0 or 1.",""
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.",""
"The ""use_config_qty_increments"" field must be set to 0 or 1.",""
"The attribute rules were saved.",""
"The role has been saved.",""
"The role is a special one and not for assigning it to admin users.",""
"Total Due","Σύνολο Ωφειλών"
"Total Paid","Σύνολο Καταβαλλόμενων Πληρωμών"
"Total Refunded","Σύνολο που Επιστράφηκε"
"Total Reviews Count",""
"Type","Τύπος"
"URL","URL"
"Update","Ενημέρωση"
"Use Config Settings for Allow Gift Message",""
"Use Config Settings for Allow Gift Wrapping",""
"Use Config Settings for Backorders",""
"Use Config Settings for Enable Qty Increments",""
"Use Config Settings for Manage Stock",""
"Use Config Settings for Maximum Qty Allowed in Shopping Cart",""
"Use Config Settings for Minimum Qty Allowed in Shopping Cart",""
"Use Config Settings for Notify for Quantity Below",""
"Use Config Settings for Qty Increments",""
"Use Config Settings for Qty for Item's Status to Become Out of Stock",""
"User Type","Τύπος Χρήστη"
"User type ""%s"" no longer exists",""
"User type ""%s"" not found.",""
"Web Services",""
"Web services",""
"Write",""
"ZIP/Postal Code","Τ. Κ."
